,Unnamed: 0,location,capital,lat,lon,year,month,new_cases,date,richter,date-2
0,0,Afghanistan,Kabul,34.28,69.11,2020,1,20220,1/1/2020,5,20-Jan
1,1,Afghanistan,Kabul,34.28,69.11,2020,2,16950,2/1/2020,5,20-Feb
2,2,Afghanistan,Kabul,34.28,69.11,2020,3,17150,3/1/2020,5,20-Mar
3,3,Afghanistan,Kabul,34.28,69.11,2020,4,26990,4/1/2020,5,20-Apr
4,4,Afghanistan,Kabul,34.28,69.11,2020,5,119940,5/1/2020,6,20-May
5,5,Afghanistan,Kabul,34.28,69.11,2020,6,99000,6/1/2020,5,20-Jun
6,6,Afghanistan,Kabul,34.28,69.11,2020,7,39020,7/1/2020,5,20-Jul
7,7,Afghanistan,Kabul,34.28,69.11,2020,8,22940,8/1/2020,5,20-Aug
8,8,Afghanistan,Kabul,34.28,69.11,2020,9,15080,9/1/2020,5,20-Sep
9,9,Afghanistan,Kabul,34.28,69.11,2020,10,41050,10/1/2020,5,20-Oct
10,10,Afghanistan,Kabul,34.28,69.11,2020,11,55000,11/1/2020,5,20-Nov
11,11,Afghanistan,Kabul,34.28,69.11,2020,12,49980,12/1/2020,5,20-Dec
12,12,Afghanistan,Kabul,34.28,69.11,2021,1,51380,1/1/2021,5,21-Jan
13,13,Afghanistan,Kabul,34.28,69.11,2021,2,42380,2/1/2021,5,21-Feb
14,14,Afghanistan,Kabul,34.28,69.11,2021,3,40020,3/1/2021,5,21-Mar
15,15,Afghanistan,Kabul,34.28,69.11,2021,4,64170,4/1/2021,5,21-Apr
16,16,Afghanistan,Kabul,34.28,69.11,2021,5,126370,5/1/2021,6,21-May
17,17,Afghanistan,Kabul,34.28,69.11,2021,6,339870,6/1/2021,6,21-Jun
18,18,Afghanistan,Kabul,34.28,69.11,2021,7,167560,7/1/2021,6,21-Jul
19,19,Afghanistan,Kabul,34.28,69.11,2021,8,51630,8/1/2021,5,21-Aug
20,20,Afghanistan,Kabul,34.28,69.11,2021,9,51220,9/1/2021,5,21-Sep
21,21,Afghanistan,Kabul,34.28,69.11,2021,10,45890,10/1/2021,5,21-Oct
22,22,Afghanistan,Kabul,34.28,69.11,2021,11,42530,11/1/2021,5,21-Nov
23,23,Afghanistan,Kabul,34.28,69.11,2021,12,34520,12/1/2021,5,21-Dec
24,24,Afghanistan,Kabul,34.28,69.11,2022,1,63230,1/1/2022,5,22-Jan
25,25,Afghanistan,Kabul,34.28,69.11,2022,2,50150,2/1/2022,5,22-Feb
26,26,Afghanistan,Kabul,34.28,69.11,2022,3,35210,3/1/2022,5,22-Mar
27,27,Afghanistan,Kabul,34.28,69.11,2022,4,23080,4/1/2022,5,22-Apr
28,28,Afghanistan,Kabul,34.28,69.11,2022,5,25580,5/1/2022,5,22-May
29,29,Afghanistan,Kabul,34.28,69.11,2022,6,33850,6/1/2022,5,22-Jun
30,30,Afghanistan,Kabul,34.28,69.11,2022,7,49120,7/1/2022,5,22-Jul
31,31,Afghanistan,Kabul,34.28,69.11,2022,8,67270,8/1/2022,5,22-Aug
